,Date,Invoice Type,Buyer,Saller,Products,Total_amount
150,08.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"5 | 4eafecb724f9693cfa9627b4fc4343f2b9c0f0e49930674dae2d8521

ITEM CODE/ITEM HSN/SAC_ | QUANTITY | UNIT PRICE | SGST/UGST | CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK2051 Q2612XC-Toner_| 844399 15.000 4,244.00 5,672.11 5,672.11 63,023.40 13.500
HPLJ1000/3000 Cont Bik DISC 636.60- EA 9.00 9.00 74,367.62
Q2612XC
100497371971,100585747 103, 109585747104, 100585747 I 14,100583747177, 100585747180, 100585747} 83,100585747147, 100585747189] 100585747 197,10585747202,","74,367.62"
151,08.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"5 | 4eafecb724f9693cfa9627b4fc4343f2b9c0f0e49930674dae2d8521

ITEM CODE/ITEM HSN/SAC_ | QUANTITY | UNIT PRICE | SGST/UGST | CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK2051 Q2612XC-Toner_| 844399 15.000 4,244.00 5,672.11 5,672.11 63,023.40 13.500
HPLJ1000/3000 Cont Bik DISC 636.60- EA 9.00 9.00 74,367.62
Q2612XC
100497371971,100585747 103, 109585747104, 100585747 I 14,100583747177, 100585747180, 100585747} 83,100585747147, 100585747189] 100585747 197,10585747202,","74,367.62"
152,11.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY | UNIT PRICE | SGST/UGST

CGST IGST TOTAL WEIGHT","413,053.10"
153,11.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

UNIT PRICE | SGST/UGST CGST","13,131.73"
154,11.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

UNIT PRICE | SGST/UGST CGST","13,131.73"
155,12.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK4995 3ED69A-HP 712 | 844399 2.000 1,331.00 237.18 237.18 2,635.38 2.000
295ml Yellow Ink Cartridge DISC 26.62- EA 9.00 9.00 3,109.74
3ED69A
HPSPPK4994 3ED68A-HP 712 | 844399 2.000 1,331.00 237.18 237.18 2,635.38 0.200

2 | 844399 2.000 1,331.00 237.18 237.18 2,635.38 0.100","13,427.30"
156,12.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY | UNIT PRICE | SGST/UGST

CGST","132,160.00"
157,13.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY | UNIT PRICE | SGST/UGST

CGST IGST TOTAL WEIGHT","3,416.99"
158,14.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

UNIT PRICE | SGST/UGST CGST","13,636.39"
159,14.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

UNIT PRICE | SGST/UGST CGST","13,131.73"
160,10-Jan-23,Purchase,B M Infotrade Private Limited,trade Private Limited,"4 |HP P2V68A Cyan Ink Cartridge 84439959 18% 1 no. 9,137.00 | no. 9,137.00

2 |HP P2V70A Yellow Ink Cartridge 84439959 18% 1 no. 9,137.00 | no. 9,137.00

3 |HP 3ED51A Matte Black Ink Cartridge 84439959 18% 1 no. 9,137.00 | no. 9,137.00

4 |HP 3ED49A Photo Black Ink Cartridge 84439959 18% 1 no. 9,137.00 | no. 9,137.00

CGST Output 3,289.32","6,578.64"
161,16.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK6612 W2112A-TONER | 84439959 1.000 4,946.00 890.28 4,946.00 2.000
aes 283 HP206A YELLOW EAI 18.00 5,836.28
W2112A
100538768718,",Tax
162,28-Apr-23,Sales,Null,"B M Infotrade Private Limited
","1 |HP CE505AC Toner Cartridge 84439959 2 no. 5,989.00 | no. 11,978.00

2 |HP W1112A Toner Cartridge 84439959 3 no. 3,561.00 | no. 10,683.00

3 |HP CF277A Toner Cartridge 84439959 5 no. 6,726.00 | no. 33,630.00","66,423.38"
